# Copyright (C) 2025 by Curiosio
# Licensed under ECL (Educational Community License)

osm_id	name	country	area	bounding_box
5937380	Roriz	Portugal	6.637390373717152	POLYGON((-8.3947928218021 41.3324220441255,-8.3947928218021 41.3665564227903,-8.35745370627794 41.3665564227903,-8.35745370627794 41.3324220441255,-8.3947928218021 41.3324220441255))
3954575	Nine	Portugal	4.672564578651312	POLYGON((-8.56397080852341 41.4523646477865,-8.56397080852341 41.4770027492509,-8.52476210949641 41.4770027492509,-8.52476210949641 41.4523646477865,-8.56397080852341 41.4523646477865))
4034308	Vermoim	Portugal	5.07790443112056	POLYGON((-8.4647990638405 41.4060736596731,-8.4647990638405 41.4378333613498,-8.4356475589743 41.4378333613498,-8.4356475589743 41.4060736596731,-8.4647990638405 41.4060736596731))
6451793	Tonda	Portugal	7.971798109389772	POLYGON((-8.08399470197526 40.4826072843579,-8.08399470197526 40.5147066207512,-8.0262796827505 40.5147066207512,-8.0262796827505 40.4826072843579,-8.08399470197526 40.4826072843579))
3658969	Penamaior	Portugal	7.220794644420206	POLYGON((-8.4338100781606 41.2702634427523,-8.4338100781606 41.3044534772542,-8.39700706916344 41.3044534772542,-8.39700706916344 41.2702634427523,-8.4338100781606 41.2702634427523))
3658966	Meixomil	Portugal	4.7062795268319055	POLYGON((-8.41435811164681 41.2694292757485,-8.41435811164681 41.3061422631056,-8.38108807483727 41.3061422631056,-8.38108807483727 41.2694292757485,-8.41435811164681 41.2694292757485))
5913212	Paços de Ferreira	Portugal	6.529937498390093	POLYGON((-8.39598581808079 41.2475684340816,-8.39598581808079 41.2892383951565,-8.36420097069455 41.2892383951565,-8.36420097069455 41.2475684340816,-8.39598581808079 41.2475684340816))
5913213	Raimonda	Portugal	3.6218481980810573	POLYGON((-8.34241464414691 41.3022811394087,-8.34241464414691 41.3316109273554,-8.31729743309717 41.3316109273554,-8.31729743309717 41.3022811394087,-8.34241464414691 41.3022811394087))
5923250	Milheirós	Portugal	3.870659585974331	POLYGON((-8.60196496978057 41.2055975626828,-8.60196496978057 41.2306612971903,-8.57180235593455 41.2306612971903,-8.57180235593455 41.2055975626828,-8.60196496978057 41.2055975626828))
5923281	Nogueira e Silva Escura	Portugal	9.522163623296786	POLYGON((-8.59883935808716 41.2244107443558,-8.59883935808716 41.2676929645061,-8.56666223763244 41.2676929645061,-8.56666223763244 41.2244107443558,-8.59883935808716 41.2244107443558))
5928408	Duas Igrejas	Portugal	4.0589726631687615	POLYGON((-8.39055166261534 41.2146378643506,-8.39055166261534 41.2412062342968,-8.36181581632749 41.2412062342968,-8.36181581632749 41.2146378643506,-8.39055166261534 41.2146378643506))
5928415	Sobrosa	Portugal	5.052442967177665	POLYGON((-8.37238782698122 41.2377472743142,-8.37238782698122 41.2597714792739,-8.33481552691077 41.2597714792739,-8.33481552691077 41.2377472743142,-8.37238782698122 41.2377472743142))
5928417	Vilela	Portugal	5.029718950383602	POLYGON((-8.39940873587975 41.2302411962033,-8.39940873587975 41.2579609881884,-8.36245510408256 41.2579609881884,-8.36245510408256 41.2302411962033,-8.39940873587975 41.2302411962033))
5937379	Reguenga	Portugal	5.375759834092798	POLYGON((-8.47033321541082 41.2621477488236,-8.47033321541082 41.2868898697063,-8.42927236723958 41.2868898697063,-8.42927236723958 41.2621477488236,-8.47033321541082 41.2621477488236))
5977690	Muro	Portugal	5.427069640310615	POLYGON((-8.6083150158058 41.2800679225324,-8.6083150158058 41.311082389198,-8.57012941188015 41.311082389198,-8.57012941188015 41.2800679225324,-8.6083150158058 41.2800679225324))
5923255	Águas Santas	Portugal	8.807685540539582	POLYGON((-8.60248565360573 41.1938773989324,-8.60248565360573 41.2401228733116,-8.55499622097651 41.2401228733116,-8.55499622097651 41.1938773989324,-8.60248565360573 41.1938773989324))
5987081	Ermesinde	Portugal	8.458173352902197	POLYGON((-8.57072737685255 41.1962649840514,-8.57072737685255 41.2403907589371,-8.52333936525173 41.2403907589371,-8.52333936525173 41.1962649840514,-8.57072737685255 41.1962649840514))
5937374	Agrela	Portugal	7.502936367643972	POLYGON((-8.48682477754278 41.241203971183,-8.48682477754278 41.2711110208012,-8.44919682163527 41.2711110208012,-8.44919682163527 41.241203971183,-8.48682477754278 41.241203971183))
5913210	Figueiró	Portugal	3.064899817619422	POLYGON((-8.35689454951725 41.298536859442,-8.35689454951725 41.3174577485708,-8.32963115215989 41.3174577485708,-8.32963115215989 41.298536859442,-8.35689454951725 41.298536859442))
4102134	Caldelas	Portugal	2.9039361070577328	POLYGON((-8.35354983487488 41.479044580864,-8.35354983487488 41.5034037325907,-8.33515331760867 41.5034037325907,-8.33515331760867 41.479044580864,-8.35354983487488 41.479044580864))
4112720	Ponte	Portugal	6.479365147409386	POLYGON((-8.35216900014606 41.450915752004,-8.35216900014606 41.4881214276296,-8.31968526967324 41.4881214276296,-8.31968526967324 41.450915752004,-8.35216900014606 41.450915752004))
4112845	Sande São Lourenço e Balazar	Portugal	6.963845909852343	POLYGON((-8.39381834173915 41.4936811440046,-8.39381834173915 41.5179286487811,-8.33787056297948 41.5179286487811,-8.33787056297948 41.4936811440046,-8.39381834173915 41.4936811440046))
4135200	Figueiredo	Portugal	2.18555315658569	POLYGON((-8.45579840857471 41.4929685984158,-8.45579840857471 41.5122693553964,-8.43213260787849 41.5122693553964,-8.43213260787849 41.4929685984158,-8.45579840857471 41.4929685984158))
4135204	Padim da Graça	Portugal	3.663823796998305	POLYGON((-8.50983117391633 41.5506126229207,-8.50983117391633 41.5726606324854,-8.47920026314 41.5726606324854,-8.47920026314 41.5506126229207,-8.50983117391633 41.5506126229207))
4135210	Sobreposta	Portugal	6.454032165274432	POLYGON((-8.35234543920788 41.534692119852,-8.35234543920788 41.5730982516501,-8.31741184607549 41.5730982516501,-8.31741184607549 41.534692119852,-8.35234543920788 41.534692119852))
4135203	Mire de Tibães	Portugal	4.70272975992954	POLYGON((-8.48960932959605 41.5479916856174,-8.48960932959605 41.5846195966573,-8.4667134067063 41.5846195966573,-8.4667134067063 41.5479916856174,-8.48960932959605 41.5479916856174))
4135213	Tebosa	Portugal	2.7886141772542086	POLYGON((-8.50145983194082 41.4750677869033,-8.50145983194082 41.4919559806934,-8.4712320068881 41.4919559806934,-8.4712320068881 41.4750677869033,-8.50145983194082 41.4750677869033))
4136027	Celeirós, Aveleda e Vimieiro	Portugal	8.162587399272283	POLYGON((-8.47363350596635 41.486223429475,-8.47363350596635 41.5301691610805,-8.4405134214046 41.5301691610805,-8.4405134214046 41.486223429475,-8.47363350596635 41.486223429475))
4136028	Escudeiros e Penso (Santo Estêvão e São Vicente)	Portugal	8.66345169981436	POLYGON((-8.45238504614537 41.4637303408518,-8.45238504614537 41.496014330572,-8.40603186431036 41.496014330572,-8.40603186431036 41.4637303408518,-8.45238504614537 41.4637303408518))
4140545	Santa Lucrécia de Algeriz e Navarra	Portugal	6.715100676172756	POLYGON((-8.39280396381707 41.5789755583363,-8.39280396381707 41.6143465191763,-8.34731017851445 41.6143465191763,-8.34731017851445 41.5789755583363,-8.39280396381707 41.5789755583363))
4140549	Merelim (São Paio), Panoias e Parada de Tibães	Portugal	5.772598316838948	POLYGON((-8.48143160958384 41.5526795164243,-8.48143160958384 41.5955408812162,-8.45249987821884 41.5955408812162,-8.45249987821884 41.5526795164243,-8.48143160958384 41.5526795164243))
4140546	Lomar e Arcos	Portugal	4.328574715338401	POLYGON((-8.44419072996487 41.5104020350074,-8.44419072996487 41.5390939601226,-8.41648996489997 41.5390939601226,-8.41648996489997 41.5104020350074,-8.44419072996487 41.5104020350074))
4140553	Vilaça e Fradelos	Portugal	3.016119448368612	POLYGON((-8.49769644123495 41.5014550239219,-8.49769644123495 41.521747527686,-8.46667987909362 41.521747527686,-8.46667987909362 41.5014550239219,-8.49769644123495 41.5014550239219))
4161487	Freiriz	Portugal	6.313992142732871	POLYGON((-8.52081398164458 41.6252508722909,-8.52081398164458 41.6612996776405,-8.49251424577889 41.6612996776405,-8.49251424577889 41.6252508722909,-8.52081398164458 41.6252508722909))
